Name,sim_seconds,sim_ticks,system.mem_ctrls.num_reads::total,system.mem_ctrls.num_writes::writebacks,system.mem_ctrls.num_writes::total,system.l3.overall_hits::total,system.l3.overall_misses::total,system.l3.overall_miss_rate::total,system.mem_ctrls.pwrStateResidencyTicks::UNDEFINED,system.pwrStateResidencyTicks::UNDEFINED,i0.defaultMemory.totalReadRequests,i0.defaultMemory.totalWriteRequests
quicksort-full-way-small-l3-4kB,0.095399,95399037000,23999,21132,21132,169,23999,0.993007,95399037000,95399037000,23999,21132
quicksort-2-way-small-l3-128kB-FIFO,0.093563,93562915000,19795,16184,16184,4373,19795,0.819058,93562915000,93562915000,19795,16184
quicksort-2-way,0.088023,88022818000,6833,,,17335,6833,0.282729,88022818000,88022818000,6833,0
multiply-4-way-writeback,1.962473,1962472606000,17452,692,692,1693390,17452,0.010201,1962472606000,1962472606000,17452,692
multiply-4-way-through,6.003561,6003561022000,17452,13906258,13906258,1693389,17453,0.010201,6003561022000,6003561022000,17452,13906258
quicksort-full-way-LFU,0.088023,88022818000,6833,,,17335,6833,0.282729,88022818000,88022818000,6833,0
quicksort-2-way-small-l3-128kB,0.093630,93629957000,19792,16204,16204,4376,19792,0.818934,93629957000,93629957000,19792,16204
quicksort-full-way-small-l3-128kB,0.093703,93702781000,20253,16534,16534,3915,20253,0.838009,93702781000,93702781000,20253,16534
quicksort-2-way-small-l3-4kB,0.095381,95380892000,23908,21037,21037,260,23908,0.989242,95380892000,95380892000,23908,21037
quicksort-full-way,0.088023,88022818000,6833,,,17335,6833,0.282729,88022818000,88022818000,6833,0
quicksort-full-way-small-l3-128kB-FIFO,0.093716,93715687000,20219,16483,16483,3949,20219,0.836602,93715687000,93715687000,20219,16483
quicksort-2-way-LFU,0.088023,88022818000,6833,,,17335,6833,0.282729,88022818000,88022818000,6833,0
